gu_std,jeonse_ratio_pct,matched_rows,jeonse_ratio_score
종로구,71.06943205568646,23,0.0
강동구,65.24357456238431,24,15.380443899568036
동대문구,64.92526869800264,24,16.220781222555132
영등포구,63.614964186792925,24,19.68002564265663
구로구,62.39035640793721,24,22.913028039869246
마포구,60.085960575187336,24,28.996704283024073
서대문구,60.02745689515573,23,29.15115580705789
은평구,59.05998781772061,23,31.70530408259758
중랑구,58.30735388736093,24,33.69228092782886
광진구,57.576686291580366,23,35.62126597064106
관악구,56.733764270257915,24,37.84660616743878
도봉구,56.12860881961405,23,39.44423526664802
중구,55.9525506094428,23,39.90903438466806
강북구,54.30980316301402,22,44.24593843184129
성북구,53.42047180944355,24,46.59380070060484
금천구,53.156034194791296,23,47.29192417886885
강서구,48.84387467805541,24,58.67615862150578
서초구,46.831797374404005,24,63.98810491026809
노원구,46.234797487520346,24,65.56420306900594
동작구,44.858287625847304,24,69.19823166119251
송파구,44.44019372129146,24,70.3020124953728
양천구,39.991467431464955,23,82.04678744118544
성동구,36.47950400549429,23,91.31847946464757
강남구,36.11050369300986,24,92.29265169793936
용산구,33.19108776767947,23,100.0
