gu_std,year,rent_type,avg_deposit,avg_monthly_rent,tx_count
동작구,2026,전세,68000.0,0.0,687
마포구,2021,월세,10000.0,70.0,3964
마포구,2021,전세,57000.0,0.0,5113
마포구,2022,월세,10000.0,80.0,5734
마포구,2022,전세,56500.0,0.0,6489
마포구,2023,월세,10000.0,80.0,6525
마포구,2023,전세,57000.0,0.0,7336
마포구,2024,월세,10000.0,93.0,5392
마포구,2024,전세,60000.0,0.0,6364
마포구,2025,월세,10000.0,100.0,6025
마포구,2025,전세,65000.0,0.0,6919
마포구,2026,월세,10000.0,100.0,767
마포구,2026,전세,68000.0,0.0,781
서대문구,2021,월세,10000.0,60.0,2016
서대문구,2021,전세,50000.0,0.0,3283
서대문구,2022,월세,10000.0,65.0,3619
서대문구,2022,전세,50000.0,0.0,4632
서대문구,2023,월세,10000.0,75.0,3276
서대문구,2023,전세,47000.0,0.0,4824
서대문구,2024,월세,10000.0,75.0,3277
서대문구,2024,전세,52920.0,0.0,4259
서대문구,2025,월세,10000.0,85.0,3166
서대문구,2025,전세,54600.0,0.0,4453
서대문구,2026,월세,10000.0,76.0,444
서대문구,2026,전세,59800.0,0.0,521
서초구,2021,월세,30000.0,120.0,5512
서초구,2021,전세,76000.0,0.0,7015
서초구,2022,월세,30000.0,135.0,6895
서초구,2022,전세,77700.0,0.0,8258
서초구,2023,월세,28610.0,125.0,8145
서초구,2023,전세,75000.0,0.0,10587
서초구,2024,월세,30000.0,148.5,5770
서초구,2024,전세,82000.0,0.0,8584
서초구,2025,월세,30000.0,150.0,8198
서초구,2025,전세,87075.0,0.0,10162
서초구,2026,월세,30000.0,150.0,770
서초구,2026,전세,79196.0,0.0,946
성동구,2021,월세,20000.0,120.0,2756
성동구,2021,전세,60000.0,0.0,4597
성동구,2022,월세,17000.0,120.0,4432
성동구,2022,전세,62000.0,0.0,5797
성동구,2023,월세,19000.0,140.0,4333
성동구,2023,전세,58000.0,0.0,6798
성동구,2024,월세,20000.0,150.0,3836
성동구,2024,전세,65000.0,0.0,5789
성동구,2025,월세,20000.0,150.0,4853
성동구,2025,전세,66000.0,0.0,6939
성동구,2026,월세,18000.0,130.0,601
성동구,2026,전세,73000.0,0.0,776
성북구,2021,월세,10000.0,60.0,2591
성북구,2021,전세,45000.0,0.0,4902
성북구,2022,월세,10000.0,69.5,4256
성북구,2022,전세,46200.0,0.0,5692
성북구,2023,월세,10000.0,80.0,4048
성북구,2023,전세,43000.0,0.0,6329
성북구,2024,월세,10000.0,76.0,3530
성북구,2024,전세,48000.0,0.0,5557
성북구,2025,월세,10000.0,85.0,3714
성북구,2025,전세,49000.0,0.0,5668
성북구,2026,월세,11000.0,82.0,439
성북구,2026,전세,53000.0,0.0,555
송파구,2021,월세,20000.0,80.0,6999
송파구,2021,전세,64000.0,0.0,9879
송파구,2022,월세,20000.0,87.0,10105
송파구,2022,전세,63000.0,0.0,11790
송파구,2023,월세,17477.5,81.0,9996
송파구,2023,전세,60000.0,0.0,14489
송파구,2024,월세,20000.0,100.0,7972
송파구,2024,전세,65000.0,0.0,11131
송파구,2025,월세,20000.0,100.0,9622
송파구,2025,전세,67300.0,0.0,12919
송파구,2026,월세,20000.0,100.0,1147
송파구,2026,전세,70000.0,0.0,1401
양천구,2021,월세,10000.0,44.0,3554
양천구,2021,전세,46000.0,0.0,6222
양천구,2022,월세,15000.0,60.0,4539
양천구,2022,전세,47250.0,0.0,7655
양천구,2023,월세,10000.0,65.0,4374
양천구,2023,전세,45000.0,0.0,8459
양천구,2024,월세,15000.0,70.0,3949
양천구,2024,전세,51000.0,0.0,7314
양천구,2025,월세,11647.0,70.0,4305
양천구,2025,전세,51450.0,0.0,7736
양천구,2026,월세,20000.0,85.0,477
양천구,2026,전세,56250.0,0.0,804
영등포구,2021,월세,10000.0,63.0,2653
영등포구,2021,전세,48812.5,0.0,5178
영등포구,2022,월세,15000.0,60.0,5353
영등포구,2022,전세,50000.0,0.0,7009
영등포구,2023,월세,10000.0,75.0,4229
영등포구,2023,전세,48000.0,0.0,7194
영등포구,2024,월세,13071.0,61.0,5452
영등포구,2024,전세,53000.0,0.0,7029
영등포구,2025,월세,10000.0,75.0,4686
영등포구,2025,전세,55000.0,0.0,6695
영등포구,2026,월세,17000.0,68.0,651
영등포구,2026,전세,59800.0,0.0,821
용산구,2021,월세,10000.0,111.0,1780
용산구,2021,전세,62000.0,0.0,2773
용산구,2022,월세,14407.0,78.0,3768
용산구,2022,전세,63000.0,0.0,3414
용산구,2023,월세,13965.0,136.0,2834
용산구,2023,전세,60000.0,0.0,3902
용산구,2024,월세,16052.0,82.0,3343
용산구,2024,전세,65000.0,0.0,3302
