자치구,연도,면적구간,평균 전세,평균 월세보증금,평균 월세,거래건수,gu_std,year,avg_jeonse,avg_monthly_rent,tx_count,area_band
영등포구,2021,84,56455,24725,99,3361,영등포구,2021,56455,99,3361,84㎡
영등포구,2021,기타,84887,39000,151,1163,영등포구,2021,84887,151,1163,기타
용산구,2021,33,24741,4856,24,586,용산구,2021,24741,24,586,33㎡
용산구,2021,59,49673,18232,117,1529,용산구,2021,49673,117,1529,59㎡
용산구,2021,84,64294,25321,163,1505,용산구,2021,64294,163,1505,84㎡
용산구,2021,기타,115560,41794,327,1611,용산구,2021,115560,327,1611,기타
은평구,2021,33,16215,5009,28,1807,은평구,2021,16215,28,1807,33㎡
은평구,2021,59,38704,11496,55,2881,은평구,2021,38704,55,2881,59㎡
은평구,2021,84,46562,24262,95,2612,은평구,2021,46562,95,2612,84㎡
은평구,2021,기타,60953,31043,113,601,은평구,2021,60953,113,601,기타
종로구,2021,33,24568,5686,50,435,종로구,2021,24568,50,435,33㎡
종로구,2021,59,43316,16299,101,558,종로구,2021,43316,101,558,59㎡
종로구,2021,84,73200,29770,143,720,종로구,2021,73200,143,720,84㎡
종로구,2021,기타,91256,38969,206,246,종로구,2021,91256,206,246,기타
중구,2021,33,23048,3047,54,911,중구,2021,23048,54,911,33㎡
중구,2021,59,49804,15417,108,903,중구,2021,49804,108,903,59㎡
중구,2021,84,65606,23978,134,937,중구,2021,65606,134,937,84㎡
중구,2021,기타,91668,29168,231,409,중구,2021,91668,231,409,기타
중랑구,2021,33,18345,4109,34,1497,중랑구,2021,18345,34,1497,33㎡
중랑구,2021,59,32648,9449,47,1916,중랑구,2021,32648,47,1916,59㎡
중랑구,2021,84,44617,20519,78,1513,중랑구,2021,44617,78,1513,84㎡
중랑구,2021,기타,56471,25551,121,392,중랑구,2021,56471,121,392,기타
강남구,2022,33,32106,7586,71,3491,강남구,2022,32106,71,3491,33㎡
강남구,2022,59,58098,25088,127,6118,강남구,2022,58098,127,6118,59㎡
강남구,2022,84,89407,50556,191,8069,강남구,2022,89407,191,8069,84㎡
강남구,2022,기타,140252,80500,277,4927,강남구,2022,140252,277,4927,기타
강동구,2022,33,19983,4191,31,2510,강동구,2022,19983,31,2510,33㎡
강동구,2022,59,43697,15977,63,5640,강동구,2022,43697,63,5640,59㎡
강동구,2022,84,57784,29551,113,4910,강동구,2022,57784,113,4910,84㎡
강동구,2022,기타,67617,38717,127,907,강동구,2022,67617,127,907,기타
강북구,2022,33,13686,2709,34,946,강북구,2022,13686,34,946,33㎡
강북구,2022,59,31431,11005,63,1144,강북구,2022,31431,63,1144,59㎡
강북구,2022,84,42841,17262,90,1067,강북구,2022,42841,90,1067,84㎡
강북구,2022,기타,51195,21507,105,249,강북구,2022,51195,105,249,기타
강서구,2022,33,20348,4996,41,3660,강서구,2022,20348,41,3660,33㎡
강서구,2022,59,31382,11534,53,7105,강서구,2022,31382,53,7105,59㎡
강서구,2022,84,48396,26378,96,4726,강서구,2022,48396,96,4726,84㎡
강서구,2022,기타,66582,38221,116,953,강서구,2022,66582,116,953,기타
관악구,2022,33,16804,3640,36,1878,관악구,2022,16804,36,1878,33㎡
관악구,2022,59,39977,16754,72,2964,관악구,2022,39977,72,2964,59㎡
관악구,2022,84,50200,22329,97,1834,관악구,2022,50200,97,1834,84㎡
관악구,2022,기타,57948,29149,105,585,관악구,2022,57948,105,585,기타
광진구,2022,33,18211,4775,57,526,광진구,2022,18211,57,526,33㎡
광진구,2022,59,49360,22466,96,1331,광진구,2022,49360,96,1331,59㎡
광진구,2022,84,67594,35285,115,2245,광진구,2022,67594,115,2245,84㎡
광진구,2022,기타,104525,54775,211,559,광진구,2022,104525,211,559,기타
구로구,2022,33,16351,4820,22,2120,구로구,2022,16351,22,2120,33㎡
구로구,2022,59,29957,12078,51,4579,구로구,2022,29957,51,4579,59㎡
구로구,2022,84,44136,22687,61,4414,구로구,2022,44136,61,4414,84㎡
구로구,2022,기타,54718,32326,111,592,구로구,2022,54718,111,592,기타
금천구,2022,33,15816,1921,46,701,금천구,2022,15816,46,701,33㎡
금천구,2022,59,31938,12346,63,1332,금천구,2022,31938,63,1332,59㎡
금천구,2022,84,43743,18843,84,895,금천구,2022,43743,84,895,84㎡
금천구,2022,기타,46998,23980,77,183,금천구,2022,46998,77,183,기타
노원구,2022,33,15493,2581,38,3051,노원구,2022,15493,38,3051,33㎡
노원구,2022,59,24593,6789,58,12293,노원구,2022,24593,58,12293,59㎡
노원구,2022,84,45569,20050,88,3869,노원구,2022,45569,88,3869,84㎡
노원구,2022,기타,63558,36151,102,729,노원구,2022,63558,102,729,기타
도봉구,2022,33,14813,2945,40,1221,도봉구,2022,14813,40,1221,33㎡
도봉구,2022,59,24462,6271,58,3108,도봉구,2022,24462,58,3108,59㎡
도봉구,2022,84,37008,13160,79,2064,도봉구,2022,37008,79,2064,84㎡
도봉구,2022,기타,54472,21772,116,280,도봉구,2022,54472,116,280,기타
동대문구,2022,33,19922,5236,42,2104,동대문구,2022,19922,42,2104,33㎡
동대문구,2022,59,44587,15387,80,2807,동대문구,2022,44587,80,2807,59㎡
동대문구,2022,84,53498,24448,112,2743,동대문구,2022,53498,112,2743,84㎡
동대문구,2022,기타,55417,24480,115,710,동대문구,2022,55417,115,710,기타
동작구,2022,33,13628,2937,40,1113,동작구,2022,13628,40,1113,33㎡
동작구,2022,59,47671,21994,85,2932,동작구,2022,47671,85,2932,59㎡
동작구,2022,84,66358,33875,113,3871,동작구,2022,66358,113,3871,84㎡
동작구,2022,기타,77806,41967,127,1030,동작구,2022,77806,127,1030,기타
마포구,2022,33,22135,5915,47,1637,마포구,2022,22135,47,1637,33㎡
마포구,2022,59,45092,16302,87,5404,마포구,2022,45092,87,5404,59㎡
마포구,2022,84,68969,29114,159,4050,마포구,2022,68969,159,4050,84㎡
마포구,2022,기타,92325,42382,223,1132,마포구,2022,92325,223,1132,기타
서대문구,2022,33,16459,5561,36,1531,서대문구,2022,16459,36,1531,33㎡
서대문구,2022,59,44349,16908,89,3046,서대문구,2022,44349,89,3046,59㎡
서대문구,2022,84,55808,25645,115,3105,서대문구,2022,55808,115,3105,84㎡
서대문구,2022,기타,67966,33642,142,569,서대문구,2022,67966,142,569,기타
서초구,2022,33,31646,5828,73,1216,서초구,2022,31646,73,1216,33㎡
서초구,2022,59,57466,25474,102,4112,서초구,2022,57466,102,4112,59㎡
서초구,2022,84,95987,51122,200,6311,서초구,2022,95987,200,6311,84㎡
서초구,2022,기타,132869,71205,273,3514,서초구,2022,132869,273,3514,기타
성동구,2022,33,21634,6331,47,863,성동구,2022,21634,47,863,33㎡
성동구,2022,59,55371,21531,134,4148,성동구,2022,55371,134,4148,59㎡
성동구,2022,84,69730,31423,164,4075,성동구,2022,69730,164,4075,84㎡
성동구,2022,기타,94217,44958,294,1143,성동구,2022,94217,294,1143,기타
성북구,2022,33,15746,5127,30,1434,성북구,2022,15746,30,1434,33㎡
성북구,2022,59,41323,13739,78,4306,성북구,2022,41323,78,4306,59㎡
성북구,2022,84,51795,21621,107,3269,성북구,2022,51795,107,3269,84㎡
성북구,2022,기타,65147,31280,125,939,성북구,2022,65147,125,939,기타
송파구,2022,33,34544,8078,48,2845,송파구,2022,34544,48,2845,33㎡
송파구,2022,59,51151,20020,78,6062,송파구,2022,51151,78,6062,59㎡
송파구,2022,84,72310,39469,146,9786,송파구,2022,72310,146,9786,84㎡
송파구,2022,기타,97522,53145,176,3202,송파구,2022,97522,176,3202,기타
양천구,2022,33,7016,4142,21,939,양천구,2022,7016,21,939,33㎡
양천구,2022,59,37773,15215,65,5290,양천구,2022,37773,65,5290,59㎡
양천구,2022,84,58221,34833,100,4540,양천구,2022,58221,100,4540,84㎡
양천구,2022,기타,90075,66136,135,1425,양천구,2022,90075,135,1425,기타
영등포구,2022,33,20187,7061,37,1874,영등포구,2022,20187,37,1874,33㎡
