순번,자치구,구역명,위치,Unnamed: 4,사업방법,Unnamed: 6,Unnamed: 7,사업추진단계,기존 가구수(멸실량),추진단계,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,공급형태별 건립세대수 (공급량),Unnamed: 23,Unnamed: 24,gu_std
,,,,,,,,,,,,,,,,,,,,,,총합계,분양,임대,
,,,,,,,,,,"구역지정
(아파트 지구는 정비계획 수립)",,추진위원회,"조합설립인가
(사업시행자 지정일)",건축심의,사업시행인가,,"관리처분
계획인가",,이주,,착공,,,,
,,,위치1(지번주소),위치2(도로명주소),공공/민간,일반/재촉지구,사업유형,,,최초,변경(최종),,,,최초,변경(최종),최초,변경(최종),이주시작일,이주종료일,,,,,
316.0,영등포구,문래동남성아파트,문래동2가 35,경인로77길 19,민간,일반,공동주택 재건축,사업시행,390.0,2013-09-05,2013-09-05,2009-08-26,2017-08-26,2020-10-13,2021-07-23,,,,,,,488,436,52,영등포구
317.0,영등포구,문래동진주아파트,문래동5가 22,선유로9길 31,민간,일반,공동주택 재건축,관리처분,160.0,2015-11-19,2015-11-19,,2017-12-21,2020-09-15,2021-05-20,,2023-08-17,,2024-08-26,2025-01-27,,324,284,40,영등포구
318.0,영등포구,신길동삼성아파트,신길동 4759,여의대방로 45,민간,일반,공동주택 재건축,건축심의,384.0,2015-08-13,2015-08-13,2016-06-11,2018-01-26,2020-09-15,,,,,,,,562,468,94,영등포구
319.0,영등포구,신길동우성2차·우창아파트,신길동 4501,여의대방로5길 2,민간,일반,공동주택 재건축,사업시행,939.0,2020-07-02,2020-07-02,,2020-09-24,2023-07-25,2024-11-14,,,,,,,1212,1104,108,영등포구
320.0,영등포구,양평13,"양평동2가 33-20
",선유서로25길 6-5,공공,일반,도시정비형 재개발,사업시행,389.0,2009-09-24,2023-12-28,2008-08-29,2010-04-12,2025-02-27,2010-12-02,2025-12-18,,,,,,557,353,204,영등포구
321.0,영등포구,양평동신동아아파트,양평동1가 20,선유서로 76,민간,일반,공동주택 재건축,조합설립,495.0,2011-06-30,2011-06-30,2009-04-24,2020-12-08,,,,,,,,,563,507,56,영등포구
322.0,영등포구,여의도공작아파트,여의도동 21-2,"여의대로6길 17
",민간,일반,공동주택 재건축,조합설립,373.0,2022-11-17,2022-11-17,,2023-02-23,,,,,,,,,581,501,80,영등포구
323.0,영등포구,여의도수정아파트,여의도동 32,"국제금융로7길 1
",민간,일반,공동주택 재건축,구역지정,329.0,2025-05-22,,,,,,,,,,,,498,437,61,영등포구
324.0,영등포구,여의도진주아파트,"여의도동 54-4
",국제금융로 108-6,민간,일반,공동주택 재건축,추진위,376.0,2025-04-03,,2025-06-02,,,,,,,,,,578,490,88,영등포구
325.0,영등포구,유원제일1차아파트,당산동4가 91,국회대로29길 13,민간,일반,공동주택 재건축,착공,360.0,2014-07-10,2014-07-10,2009-09-03,2017-11-24,2019-03-12,2019-12-30,2024-01-15,2022-04-13,2025-01-20,,,2024-08-05,550,479,71,영등포구
326.0,영등포구,유원제일2차아파트,당산동5가 7-2,선유동2로 46,민간,일반,공동주택 재건축,사업시행,410.0,2015-07-30,2015-07-30,2016-06-10,2018-08-20,2023-08-26,2025-03-13,,,,,,,703,628,75,영등포구
327.0,영등포구,당산1구역,당산동6가 104,당산로52길 23,민간,일반,주택정비형 재개발,추진위,764.0,2025-04-10,2025-04-10,2025-12-10,,,,,,,,,,737,518,219,영등포구
328.0,영등포구,신길제2구역,신길동 190,신길로58길 1-3,민간,일반,주택정비형 재개발,사업시행,2790.0,2009-08-20,2024-09-26,2007-08-24,2020-03-04,2024-03-04,2025-09-12,,,,,,,2550,1901,649,영등포구
329.0,영등포구,양평12,"양평동1가 243-1
",-,민간,일반,도시정비형 재개발,착공,387.0,2009-09-24,2017-01-05,2008-09-29,2009-12-23,2017-07-24,2018-04-19,,2019-12-26,2022-10-18,,,2023-01-09,707,539,168,영등포구
330.0,영등포구,영등포도심역세권도시정비형재개발구역,영등포동4가 431-6번지 일대,영중로3길 7,민간,일반,도시정비형 재개발,조합설립,165.0,2021-06-10,2021-06-10,2022-08-09,2023-07-28,,,,,,,,,999,804,195,영등포구
331.0,영등포구,대선제분일대1구역1지구,문래동 3가 16-32,문래로30길 5,민간,일반,도시정비형 재개발,사업시행,0.0,2020-11-26,2020-11-26,,2021-03-11,2021-05-13,2022-03-04,,,,,,,141,125,16,영등포구
332.0,영등포구,문래동4가,문래동4가 23-6번지,도림로141다길 20,민간,일반,도시정비형 재개발,조합설립,284.0,2013-07-11,2013-07-11,2019-05-28,2023-04-04,,,,,,,,,1114,915,199,영등포구
333.0,영등포구,대림1구역,"대림동 855-1
",디지털로69나길 7,민간,일반,주택정비형 재개발,추진위,213.0,2025-03-27,,2025-11-13,,,,,,,,,,1026,868,158,영등포구
334.0,영등포구,대선제분1구역5지구,"문래동3가 8-2
",영신로23길 17,민간,일반,도시정비형 재개발,사업시행,0.0,2020-11-26,2024-08-29,,,2024-12-23,2025-06-19,,,,,,,0,0,0,영등포구
335.0,영등포구,"문래동1가A8,11지구",문래동1가 55,경인로80길 3,민간,일반,도시정비형 재개발,구역지정,0.0,2013-07-11,2025-03-13,,,,,,,,,,,0,0,0,영등포구
336.0,영등포구,문래동1가A-5,문래동1가 74,"경인로76길 6
",민간,일반,도시정비형 재개발,관리처분,0.0,2013-07-11,2022-08-08,,2023-02-07,2022-09-22,2023-02-27,2025-07-11,2023-06-01,,,,,0,0,0,영등포구
337.0,영등포구,문래동2가A-4,문래동2가26,"경인로 719
",민간,일반,도시정비형 재개발,구역지정,0.0,2013-07-11,2023-05-25,,,,,,,,,,,0,0,0,영등포구
338.0,영등포구,신길1,신길동 147-80,도신로56길 29-5,공공,재촉,주택정비형 재개발,조합설립,909.0,2007-11-29,2024-12-26,,2025-05-01,,,,,,,,,1483,1042,441,영등포구
339.0,영등포구,신길13,"신길동 340-1
","신길로23길 20
",공공,재촉,공동주택 재건축,사업시행,167.0,2007-11-29,2007-11-29,2020-03-19,2021-03-11,2024-10-11,2025-11-24,,,,,,,586,399,187,영등포구
340.0,영등포구,신길역세권,신길동 39-3,"서울 영등포구 영등포로62라길 2
",민간,일반,도시정비형 재개발,건축심의,581.0,2018-06-28,2024-05-16,2019-05-27,2021-07-05,2024-02-07,,,,,,,,999,599,400,영등포구
341.0,영등포구,양평14,양평동2가 29-6,선유서로 89,공공,일반,도시정비형 재개발,추진위,118.0,2013-11-07,2013-11-07,2018-07-31,,,,,,,,,,297,247,50,영등포구
342.0,동작구,노량진3,노량진동 232-19,장승배기로24길 6,민간,재촉,주택정비형 재개발,사업시행,1038.0,2009-12-10,,2004-12-10,2017-12-29,2018-11-13,2021-02-26,2025-06-24,,,,,,1250,1035,215,동작구
343.0,동작구,노량진1,노량진동 278-2,노량진로10가길 30-9,민간,재촉,주택정비형 재개발,사업시행,3897.0,2009-12-10,2025-05-08,2011-07-29,2017-11-10,2021-06-08,2023-03-07,2023-03-07,,,,,,2992,2461,531,동작구
344.0,동작구,노량진6,노량진동 294-220,등용로4길 78,민간,재촉,주택정비형 재개발,착공,886.0,2009-12-10,2023-10-12,2010-03-25,2011-03-17,2017-10-24,2014-09-01,2025-12-24,2021-01-25,2021-01-25,,,2025-06-27,1499,1237,262,동작구
345.0,동작구,노량진5,노량진동 270-3,등용로4길 148,민간,재촉,주택정비형 재개발,관리처분,541.0,2009-12-10,,2010-02-26,2016-02-11,2019-05-28,2021-02-26,,2023-09-25,,2024-04-22,2025-03-31,,727,597,130,동작구
346.0,동작구,노량진2,노량진동 312-75,장승배기로15길 34,민간,재촉,주택정비형 재개발,착공,283.0,2009-12-10,2023-01-26,2010-02-04,2010-06-24,2024-01-09,2014-08-08,2025-05-01,2021-03-08,2021-03-08,,,2025-11-14,404,299,105,동작구
347.0,동작구,노량진4,노량진동 227-121,장승배기로20가길 17-28,민간,재촉,주택정비형 재개발,관리처분,1168.0,2009-12-10,,2010-06-29,2015-04-02,2017-06-13,2018-04-30,2025-02-25,2022-12-19,,2023-12-12,2024-08-31,,835,709,126,동작구
348.0,동작구,노량진8,대방동 23-61,등용로 114,민간,재촉,주택정비형 재개발,착공,1099.0,2010-06-03,2023-05-18,2010-07-14,2011-11-14,2017-08-01,2018-09-19,2025-05-27,2021-12-29,2021-12-29,,,2025-10-30,987,815,172,동작구
349.0,동작구,노량진7,대방동 13-31,등용로8가길 6,민간,재촉,주택정비형 재개발,관리처분,599.0,2010-06-03,,2011-06-03,2013-02-07,2015-08-18,2017-06-09,2025-08-21,2024-05-07,,2024-11-01,2025-12-31,,576,478,98,동작구
350.0,동작구,흑석1,흑석동 43-7,-,민간,재촉,주택정비형 재개발,조합설립,493.0,2008-09-11,2020-01-23,2009-01-15,2022-03-31,,,,,,,,,0,0,0,동작구
351.0,동작구,흑석9,흑석동 90,서달로10가길 1,민간,재촉,주택정비형 재개발,착공,1906.0,2009-09-11,2024-06-27,2008-06-20,2013-03-28,2024-04-09,2017-11-30,2024-11-08,2019-10-23,2024-01-11,,,2025-04-04,1536,1274,262,동작구
352.0,동작구,흑석2,흑석동 99-3,흑석로 110,공공,재촉,도시정비형 재개발,조합설립,390.0,2008-09-11,2025-07-31,,2021-09-13,,,,,,,,,1012,660,352,동작구
353.0,동작구,흑석11,흑석동 304,현충로 144,민간,재촉,주택정비형 재개발,관리처분,1829.0,2012-07-26,2025-08-21,2014-07-28,2015-12-01,2020-06-23,2021-03-18,2025-08-28,2022-08-16,2023-06-14,2022-11-24,2024-01-08,,1515,1249,266,동작구
354.0,동작구,사당5,사당동 303,사당로16길 117,민간,일반,단독주택 재건축,사업시행,414.0,2017-03-02,2017-03-02,2017-11-15,2018-11-21,2022-12-21,2024-02-14,,,,,,,530,495,35,동작구
355.0,동작구,상도14,상도동 244,성대로17길 68,민간,일반,주택정비형 재개발,조합설립,1239.0,2025-04-03,,,2025-10-02,,,,,,,,,1191,1040,151,동작구
356.0,동작구,상도15,상도동 279,성대로10길 44,민간,일반,주택정비형 재개발,조합설립,2572.0,2025-04-03,,,2025-06-05,,,,,,,,,3204,2704,500,동작구
357.0,관악구,신림2,신림동 324-25,원신길 225 일대,민간,재촉,주택정비형 재개발,관리처분,1115.0,2008-04-10,2019-10-31,2008-04-24,2008-08-27,2017-08-22,2018-09-20,2021-01-04,2021-04-29,,2021-10-25,2022-12-30,,1487,1262,225,관악구
358.0,관악구,신림1,"신림동 808
",양지길94,민간,재촉,주택정비형 재개발,사업시행,4410.0,2008-04-10,2024-06-20,2016-03-24,2019-11-21,2023-02-27,2025-03-11,,,,,,,4185,3554,631,관악구
359.0,관악구,봉천1-1,보라매동 728-57,보라매로6길 10 일대,민간,일반,단독주택 재건축,사업시행,471.0,2009-11-26,2022-08-26,2007-12-17,2019-11-13,2023-07-25,2025-05-14,,,,,,,807,740,67,관악구
360.0,관악구,봉천4-1-3,봉천동 480,,민간,일반,주택정비형 재개발,사업시행,642.0,,2009-11-19,2008-07-15,2014-05-15,2023-02-14,2024-05-30,2024-05-30,,,,,,855,694,161,관악구
361.0,관악구,봉천14,"봉천동 4-51
",청림5가길 24,민간,일반,주택정비형 재개발,사업시행,632.0,2014-06-19,2024-04-18,2009-09-09,2020-09-29,2023-08-29,2025-05-30,,,,,,,1571,1311,260,관악구
362.0,관악구,신림미성아파트,조원동 1656,조원로2길 13 일대,민간,일반,공동주택 재건축,사업시행,286.0,2010-12-16,2022-09-29,2004-02-27,2010-10-27,2023-11-28,2025-03-13,2025-03-13,,,,,,490,437,53,관악구
363.0,관악구,미성동건영아파트,미성동 746-43,문성로 74 일대,민간,일반,공동주택 재건축,조합설립,511.0,2018-11-08,2022-11-24,2019-10-28,2020-12-30,,,,,,,,,601,551,50,관악구
364.0,관악구,뉴서울개나리열망연립,신림동 739,미성10길 64 일대,민간,일반,공동주택 재건축,사업시행,211.0,2019-12-16,2022-11-03,2007-06-05,2020-11-05,2022-05-26,2023-07-13,,,,,,,306,275,31,관악구
365.0,관악구,봉천13,봉천동 922-1,남부순환로 1752,공공,일반,주택정비형 재개발,조합설립,169.0,2009-12-24,2009-12-24,2006-03-30,2022-02-10,,,,,,,,,473,301,172,관악구
