gu,year,area_pyeong_bucket,deposit_price_krw,monthly_rent_krw,rent_area_m2,rent_build_year,rent_txn_count,monthly_rent_active_krw,monthly_rent_positive_ratio,sale_price_krw,sale_area_m2,sale_build_year,sale_txn_count
강동구,2021,15.0,74320000.0,190000.0,49.9,2011.0,1156.0,250000.0,1.0,510000000.0,48.57,2001.0,16.0
강동구,2021,16.0,240480000.0,100000.0,52.9662,2021.0,116.0,400000.0,1.0,630000000.0,52.57,1996.5,14.0
강동구,2021,17.0,300000000.0,0.0,55.12,1983.0,250.0,500000.0,1.0,847500000.0,56.7,1994.0,54.0
강동구,2021,18.0,367500000.0,0.0,59.79,2011.0,3621.0,410000.0,1.0,1100000000.0,59.87,2008.0,441.0
강동구,2021,19.0,304750000.0,0.0,62.91,1982.0,86.0,480000.0,1.0,740000000.0,63.32,2001.0,22.0
강동구,2021,20.0,330000000.0,0.0,66.87,1983.0,177.0,500000.0,1.0,1065000000.0,66.87,1985.0,28.0
강동구,2021,21.0,400000000.0,0.0,69.17,1988.0,39.0,300000.0,1.0,895975000.0,69.3,1989.0,14.0
강동구,2021,22.0,493500000.0,0.0,73.566,2019.0,311.0,1000000.0,1.0,1040000000.0,72.85,2004.0,49.0
강동구,2021,23.0,470000000.0,0.0,74.99,2004.0,99.0,800000.0,1.0,720000000.0,75.71,2004.0,33.0
강동구,2021,24.0,460000000.0,0.0,79.53,2002.0,142.0,650000.0,1.0,795000000.0,79.78,2002.0,26.0
강동구,2021,25.0,520000000.0,0.0,84.046,2004.0,831.0,1000000.0,1.0,1105000000.0,83.72,2002.0,145.0
강동구,2021,26.0,500000000.0,0.0,84.9,2009.0,2844.0,1000000.0,1.0,1180000000.0,84.91,2005.0,527.0
강동구,2021,27.0,370000000.0,0.0,89.4,1999.0,4.0,,,715000000.0,90.01,2005.0,1.0
강동구,2021,28.0,540000000.0,0.0,93.79,2005.5,4.0,2100000.0,1.0,,,,
강동구,2021,29.0,655000000.0,0.0,96.815,2015.0,84.0,1500000.0,1.0,1257500000.0,96.0,2011.0,16.0
강동구,2021,30.0,788500000.0,0.0,97.784,2019.0,46.0,1050000.0,1.0,970000000.0,99.55,2004.0,7.0
강동구,2021,31.0,672000000.0,0.0,102.34,2008.0,87.0,1225000.0,1.0,1627500000.0,102.395,2008.0,12.0
강동구,2021,32.0,490000000.0,0.0,106.64,1986.0,33.0,500000.0,1.0,1330000000.0,106.79,2002.0,9.0
강동구,2021,33.0,673000000.0,0.0,107.56,1983.0,64.0,925000.0,1.0,1650000000.0,107.56,1983.0,13.0
강동구,2021,34.0,660000000.0,0.0,112.11,2008.0,135.0,1025000.0,1.0,1680000000.0,112.93,2008.0,15.0
강동구,2021,35.0,408000000.0,0.0,114.81,2009.0,382.0,1240000.0,1.0,1497500000.0,114.83,2007.0,42.0
강동구,2021,36.0,640000000.0,0.0,119.37,1994.0,56.0,700000.0,1.0,1200000000.0,119.37,1994.0,7.0
강동구,2021,37.0,730000000.0,0.0,122.082,2019.0,17.0,1000000.0,1.0,704500000.0,123.55,2003.0,4.0
강동구,2021,38.0,675000000.0,0.0,126.43,2003.0,18.0,1340000.0,1.0,1450000000.0,126.43,2003.0,7.0
강동구,2021,39.0,535500000.0,0.0,127.6575,1986.0,40.0,1800000.0,1.0,1783500000.0,127.33,1986.0,8.0
강동구,2021,40.0,600000000.0,0.0,131.83,1986.0,53.0,1000000.0,1.0,1655000000.0,132.44,1986.0,14.0
강동구,2021,41.0,818000000.0,0.0,133.97,2008.0,10.0,1250000.0,1.0,1800000000.0,133.97,2008.0,3.0
강동구,2021,42.0,750000000.0,0.0,137.7,1982.0,1.0,,,,,,
강동구,2021,43.0,675000000.0,1250000.0,142.235,2009.5,2.0,2500000.0,1.0,850000000.0,141.65,2008.0,3.0
강동구,2021,44.0,808500000.0,0.0,145.22,2011.0,20.0,700000.0,1.0,1350000000.0,144.5,2008.0,3.0
강동구,2021,45.0,641250000.0,0.0,177.99,2003.0,26.0,900000.0,1.0,1840000000.0,177.99,2002.5,20.0
강북구,2021,10.0,22690000.0,120000.0,24.053,2004.0,278.0,150000.0,1.0,120000000.0,15.3,2014.0,51.0
강북구,2021,11.0,47530000.0,155000.0,36.7995,2010.0,6.0,155000.0,1.0,228000000.0,36.65,2011.0,3.0
강북구,2021,12.0,73900000.0,150000.0,39.98,2010.0,202.0,250000.0,1.0,490000000.0,41.3,1991.0,27.0
강북구,2021,13.0,53180000.0,155000.0,42.2,2010.0,28.0,270000.0,1.0,254500000.0,43.72,2008.5,2.0
강북구,2021,14.0,90380000.0,160000.0,44.89,2010.0,55.0,160000.0,1.0,425000000.0,44.89,1991.0,10.0
강북구,2021,15.0,150000000.0,170000.0,49.94,1991.0,121.0,170000.0,1.0,598000000.0,49.94,1991.0,35.0
강북구,2021,16.0,308000000.0,0.0,52.88,2020.0,17.0,700000.0,1.0,380000000.0,54.15,2017.0,5.0
강북구,2021,17.0,117500000.0,300000.0,55.644997,1996.0,8.0,650000.0,1.0,420000000.0,56.055,2002.0,8.0
강북구,2021,18.0,315000000.0,0.0,59.83,2004.0,600.0,740000.0,1.0,670000000.0,59.94,2004.0,271.0
강북구,2021,19.0,262500000.0,0.0,63.78,1993.0,46.0,650000.0,1.0,550000000.0,63.78,1993.0,20.0
강북구,2021,20.0,250000000.0,0.0,65.82,2020.0,9.0,1100000.0,1.0,278500000.0,66.28,2004.0,8.0
