자치구,연도,면적구간,평균 전세,평균 월세보증금,평균 월세,거래건수
서초구,2022,59,57466,25474,102,4112
서초구,2022,84,95987,51122,200,6311
서초구,2022,기타,132869,71205,273,3514
성동구,2022,33,21634,6331,47,863
성동구,2022,59,55371,21531,134,4148
성동구,2022,84,69730,31423,164,4075
성동구,2022,기타,94217,44958,294,1143
성북구,2022,33,15746,5127,30,1434
성북구,2022,59,41323,13739,78,4306
성북구,2022,84,51795,21621,107,3269
성북구,2022,기타,65147,31280,125,939
송파구,2022,33,34544,8078,48,2845
송파구,2022,59,51151,20020,78,6062
송파구,2022,84,72310,39469,146,9786
송파구,2022,기타,97522,53145,176,3202
양천구,2022,33,7016,4142,21,939
양천구,2022,59,37773,15215,65,5290
양천구,2022,84,58221,34833,100,4540
양천구,2022,기타,90075,66136,135,1425
영등포구,2022,33,20187,7061,37,1874
영등포구,2022,59,43354,18642,67,5013
영등포구,2022,84,56905,25897,106,4216
영등포구,2022,기타,86178,43067,168,1259
용산구,2022,33,24503,8634,37,1045
용산구,2022,59,47714,16827,90,2517
용산구,2022,84,67427,25640,170,1790
용산구,2022,기타,118728,40507,420,1830
은평구,2022,33,18501,7774,29,2668
은평구,2022,59,39931,13427,62,3997
은평구,2022,84,44252,23459,105,3361
은평구,2022,기타,60863,28572,121,659
종로구,2022,33,20945,7327,54,436
종로구,2022,59,41923,14823,102,568
종로구,2022,84,68880,29682,157,719
종로구,2022,기타,91364,35515,230,260
중구,2022,33,20420,3626,50,926
중구,2022,59,49967,16379,109,1069
중구,2022,84,64825,24740,143,1107
중구,2022,기타,90157,32777,273,467
중랑구,2022,33,18256,5274,32,1851
중랑구,2022,59,27791,10673,46,2818
중랑구,2022,84,44756,20215,90,1662
중랑구,2022,기타,49940,31774,99,446
강남구,2023,33,30681,7611,61,4508
강남구,2023,59,59243,23179,120,8620
강남구,2023,84,87107,45665,209,10902
강남구,2023,기타,133026,70135,291,5540
강동구,2023,33,19028,5880,28,3718
강동구,2023,59,37381,14876,61,8152
강동구,2023,84,54070,28502,122,6261
강동구,2023,기타,59110,35334,137,1165
강북구,2023,33,13103,2624,43,839
강북구,2023,59,29683,9703,65,1223
강북구,2023,84,40318,14163,101,1203
강북구,2023,기타,46465,17611,119,224
강서구,2023,33,19666,5547,43,3804
강서구,2023,59,34732,11078,57,6160
강서구,2023,84,48714,22228,108,4725
강서구,2023,기타,63638,32661,124,1030
관악구,2023,33,15055,3835,44,1796
관악구,2023,59,37086,14506,81,2706
관악구,2023,84,47169,19851,103,1939
관악구,2023,기타,56373,23076,122,656
광진구,2023,33,18095,4976,49,544
광진구,2023,59,47512,20205,99,1803
광진구,2023,84,63305,30505,133,2451
광진구,2023,기타,97350,41995,244,600
구로구,2023,33,15190,4884,23,2422
구로구,2023,59,28894,11041,49,4910
구로구,2023,84,40852,19188,86,3344
구로구,2023,기타,50299,27512,141,736
금천구,2023,33,14509,4293,33,952
금천구,2023,59,29875,15490,60,2158
금천구,2023,84,42752,20320,80,1304
금천구,2023,기타,45230,15100,118,188
노원구,2023,33,15547,2861,44,2941
노원구,2023,59,23929,5879,63,12484
노원구,2023,84,43323,17096,94,4177
노원구,2023,기타,58225,25960,120,899
도봉구,2023,33,14118,2317,49,888
도봉구,2023,59,23008,5368,63,3013
도봉구,2023,84,34712,10744,90,2286
도봉구,2023,기타,49689,21178,117,322
동대문구,2023,33,20014,5155,46,1842
동대문구,2023,59,40918,14918,93,2672
동대문구,2023,84,51607,18782,140,3414
동대문구,2023,기타,55506,19261,128,788
동작구,2023,33,17269,3845,42,812
동작구,2023,59,45475,19587,86,3345
동작구,2023,84,62005,28148,121,4352
동작구,2023,기타,70979,34239,138,1219
마포구,2023,33,23235,6905,38,2504
마포구,2023,59,45829,15922,98,5561
마포구,2023,84,66118,27135,165,4547
마포구,2023,기타,89398,37133,226,1249
서대문구,2023,33,20073,5477,43,1230
서대문구,2023,59,40794,14614,93,2992
서대문구,2023,84,53288,22142,125,3264
서대문구,2023,기타,67275,27477,154,614
서초구,2023,33,29393,6517,62,1449
서초구,2023,59,57366,24620,107,5868
서초구,2023,84,90332,47296,213,7392
서초구,2023,기타,135805,68908,305,4023
성동구,2023,33,18901,5519,58,665
성동구,2023,59,51331,19109,149,4497
성동구,2023,84,65495,28122,183,4586
성동구,2023,기타,94679,45225,328,1384
성북구,2023,33,13906,4823,31,1242
성북구,2023,59,38634,12434,88,4659
성북구,2023,84,48786,19691,111,3552
성북구,2023,기타,58100,25922,128,924
송파구,2023,33,33072,9750,43,3347
송파구,2023,59,47729,18444,83,6522
송파구,2023,84,67059,35575,161,11149
송파구,2023,기타,91380,49284,192,3467
양천구,2023,33,7964,4540,21,998
양천구,2023,59,35226,12624,71,5465
양천구,2023,84,55058,30269,110,4745
양천구,2023,기타,85791,59793,146,1625
영등포구,2023,33,23571,5945,46,1751
영등포구,2023,59,40885,15827,83,4034
영등포구,2023,84,53873,26890,116,4237
영등포구,2023,기타,83907,63908,186,1401
용산구,2023,33,22876,6951,37,543
용산구,2023,59,46142,17471,114,2204
용산구,2023,84,62675,22688,181,1944
용산구,2023,기타,110458,39881,434,2046
은평구,2023,33,18515,6208,33,1965
은평구,2023,59,37848,11406,68,3967
은평구,2023,84,45457,19875,116,3755
은평구,2023,기타,56497,24188,132,712
종로구,2023,33,25204,8844,58,537
종로구,2023,59,43818,14008,112,686
종로구,2023,84,72256,30594,159,878
종로구,2023,기타,91944,44247,238,316
중구,2023,33,24629,4494,66,1321
중구,2023,59,48325,13821,133,1519
중구,2023,84,63201,21346,154,1235
중구,2023,기타,86455,29433,245,563
중랑구,2023,33,18549,5013,39,1974
중랑구,2023,59,31475,10925,54,2251
중랑구,2023,84,44051,18107,92,2231
중랑구,2023,기타,53340,25194,128,431
강남구,2024,33,34717,8329,74,3623
강남구,2024,59,62558,24468,140,6406
강남구,2024,84,94131,48012,224,8089
강남구,2024,기타,141339,73268,314,4651
강동구,2024,33,27903,6132,39,2652
강동구,2024,59,46165,17547,84,6286
강동구,2024,84,60723,29347,142,6191
강동구,2024,기타,73696,37198,166,1238
강북구,2024,33,14992,2397,50,903
강북구,2024,59,33459,10309,81,1130
강북구,2024,84,43363,15526,109,998
강북구,2024,기타,52999,15323,143,188
강서구,2024,33,21568,5731,43,3482
강서구,2024,59,34062,12003,56,6840
강서구,2024,84,51423,25945,111,4334
강서구,2024,기타,69490,33958,144,908
관악구,2024,33,17758,4613,49,1870
관악구,2024,59,41804,16081,83,2634
관악구,2024,84,51322,22099,108,1757
관악구,2024,기타,58681,25958,117,545
광진구,2024,33,17892,6426,53,553
광진구,2024,59,51515,21896,110,1333
광진구,2024,84,69284,32664,142,2043
광진구,2024,기타,107648,48868,264,524
구로구,2024,33,16488,4930,32,2164
구로구,2024,59,32371,12754,57,4524
구로구,2024,84,45085,21709,75,3392
구로구,2024,기타,56804,30762,140,506
금천구,2024,33,15998,4017,45,652
금천구,2024,59,32526,11874,70,1338
금천구,2024,84,45279,16871,98,845
금천구,2024,기타,47299,19650,110,174
노원구,2024,33,16432,2431,42,3215
노원구,2024,59,25220,5950,67,11189
노원구,2024,84,47033,17375,96,3535
노원구,2024,기타,62412,30165,123,740
도봉구,2024,33,15242,3504,44,1006
도봉구,2024,59,24463,5880,65,2811
도봉구,2024,84,37335,12422,89,1966
도봉구,2024,기타,54525,19520,124,256
동대문구,2024,33,20177,5807,47,2106
동대문구,2024,59,46954,16125,92,2849
