구,구코드,년월,아파트명,법정동,전용면적_m2,층,보증금_만원,월세_만원,계약유형,계약일,건축년도
종로구,11110,202601,이지마루종로,효제동,25.55,16,28000,0,,2026-01-31,2021
종로구,11110,202601,이지마루종로,효제동,25.55,6,27000,10,,2026-01-08,2021
종로구,11110,202601,광화문스페이스본(101동~105동),사직동,94.51,6,63000,126,,2026-01-10,2008
종로구,11110,202601,경희궁자이(4단지),교북동,45.879,14,50000,80,,2026-01-02,2017
종로구,11110,202601,포레스트힐시티,효제동,22.0584,14,2000,99,신규,2026-01-26,2017
종로구,11110,202601,경희궁자이(4단지),교북동,45.879,14,50000,80,신규,2026-01-02,2017
종로구,11110,202601,포레스트힐시티,효제동,16.672,6,10000,45,신규,2026-01-31,2017
종로구,11110,202601,이지마루종로,효제동,19.31,8,2000,120,신규,2026-01-23,2021
종로구,11110,202601,갑을아파트,평창동,30.46,6,1000,65,신규,2026-01-31,1997
종로구,11110,202601,CS타워,충신동,22.17,6,1000,75,신규,2026-01-21,2011
종로구,11110,202601,현대,무악동,60.0,8,10000,170,신규,2026-01-21,2000
종로구,11110,202601,포레스트힐시티,효제동,18.274,11,3000,95,신규,2026-01-07,2017
종로구,11110,202601,인왕산아이파크,무악동,84.858,17,10000,290,갱신,2026-01-29,2008
종로구,11110,202601,CS타워,충신동,22.17,10,1000,75,신규,2026-01-17,2011
종로구,11110,202601,MID그린(8동),창신동,59.01,3,15000,60,갱신,2026-01-24,2002
종로구,11110,202601,인왕산2차아이파크,무악동,84.2427,13,75600,0,갱신,2026-01-10,2015
종로구,11110,202601,삼전솔하임2차,숭인동,14.69,7,1000,60,신규,2026-01-03,2012
종로구,11110,202601,창신쌍용2,창신동,54.7,10,31500,0,갱신,2026-01-15,1993
종로구,11110,202601,삼성빌딩,경운동,18.18,5,1000,72,신규,2026-01-17,2013
종로구,11110,202601,대성아파트,행촌동,94.94,7,25000,55,갱신,2026-01-30,1971
종로구,11110,202601,경희궁자이(3단지),평동,84.614,5,122000,0,신규,2026-01-14,2017
종로구,11110,202601,이지마루종로,효제동,25.55,6,27000,10,신규,2026-01-08,2021
