opratDate,destination_station,stgSdCd,stgSdNm,stgSggCd,stgSggNm,stgEmdCd,stgEmdNm,arrSdCd,arrSdNm,arrSggCd,arrSggNm,arrEmdCd,arrEmdNm,tzon,quater,useStf,useTm
20260112,광화문역,11,서울특별시,11110,종로구,1111016100,종로4가,11,서울특별시,11110,종로구,1111017300,명륜3가,08,45,1,924.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016100,종로4가,11,서울특별시,11110,종로구,1111017300,명륜3가,10,00,1,944.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016100,종로4가,11,서울특별시,11110,종로구,1111017300,명륜3가,10,15,1,779.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016100,종로4가,11,서울특별시,11110,종로구,1111017300,명륜3가,10,30,1,860.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016100,종로4가,11,서울특별시,11110,종로구,1111017300,명륜3가,11,15,1,911.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016100,종로4가,11,서울특별시,11110,종로구,1111017300,명륜3가,12,15,1,946.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016100,종로4가,11,서울특별시,11110,종로구,1111017300,명륜3가,12,30,1,994.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016200,효제동,11,서울특별시,11110,종로구,1111017300,명륜3가,07,00,1,603.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016200,효제동,11,서울특별시,11110,종로구,1111017300,명륜3가,07,15,1,723.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016200,효제동,11,서울특별시,11110,종로구,1111017300,명륜3가,07,30,2,710.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016200,효제동,11,서울특별시,11110,종로구,1111017300,명륜3가,07,45,1,522.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016200,효제동,11,서울특별시,11110,종로구,1111017300,명륜3가,08,00,1,686.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016200,효제동,11,서울특별시,11110,종로구,1111017300,명륜3가,08,15,1,677.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016200,효제동,11,서울특별시,11110,종로구,1111017300,명륜3가,08,30,2,1015.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016200,효제동,11,서울특별시,11110,종로구,1111017300,명륜3가,09,15,1,903.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016200,효제동,11,서울특별시,11110,종로구,1111017300,명륜3가,10,15,1,639.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016200,효제동,11,서울특별시,11110,종로구,1111017300,명륜3가,10,30,1,676.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016200,효제동,11,서울특별시,11110,종로구,1111017300,명륜3가,10,45,1,829.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016200,효제동,11,서울특별시,11110,종로구,1111017300,명륜3가,12,45,2,860.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016600,연건동,11,서울특별시,11110,종로구,1111017300,명륜3가,08,15,1,761.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016600,연건동,11,서울특별시,11110,종로구,1111017300,명륜3가,08,45,1,701.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016600,연건동,11,서울특별시,11110,종로구,1111017300,명륜3가,09,00,1,734.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016600,연건동,11,서울특별시,11110,종로구,1111017300,명륜3가,09,15,2,652.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016600,연건동,11,서울특별시,11110,종로구,1111017300,명륜3가,09,30,2,633.0
20260112,광화문역,11,서울특별시,11110,종로구,1111016600,연건동,11,서울특별시,11110,종로구,1111017300,명륜3가,10,45,1,1224.0
