aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm,region_name
102,인왕산아이파크,2008,개인,,,"115,000",18,1,2025,중개거래,서울 종로구,84.858,1,60,N,25.03.28,11110,개인,무악동,종로구
105,현대,2000,개인,,,"139,950",25,1,2025,중개거래,서울 종로구,114.9,9,82,N,25.05.29,11110,개인,무악동,종로구
102,창신쌍용1,1992,개인,,,"69,500",24,1,2025,중개거래,서울 종로구,79.87,2,702,N,25.02.26,11110,개인,창신동,종로구
,엘리시아,2009,개인,,,"121,000",18,1,2025,중개거래,서울 종로구,213.07,1,66-1,N,,11110,개인,평창동,종로구
202,인왕산2차아이파크,2015,개인,,,"111,500",19,1,2025,중개거래,서울 종로구,84.2427,2,88,N,25.04.01,11110,개인,무악동,종로구
이화에수풀,이화에수풀,2014,법인,,,"17,700",14,1,2025,중개거래,서울 성북구,16.98,8,195-10,N,25.02.20,11110,개인,연건동,종로구
,인왕산아이파크,2008,개인,25.02.21,O,"115,000",18,1,2025,중개거래,서울 종로구,84.858,1,60,N,,11110,개인,무악동,종로구
,효성쥬얼리시티,2006,개인,,,"63,000",23,1,2025,직거래,,84.98,17,48-2,N,25.02.06,11110,개인,인의동,종로구
105,광화문스페이스본(101동~105동),2008,개인,,,"183,000",31,1,2025,중개거래,서울 종로구,108.55,11,9,N,25.03.27,11110,개인,사직동,종로구
제101,아남1,1995,개인,,,"128,000",10,1,2025,중개거래,서울 종로구,84.9,17,4,N,25.07.04,11110,개인,명륜2가,종로구
302,경희궁자이(3단지),2017,개인,,,"200,000",31,1,2025,중개거래,서울 종로구,84.8359,5,233,N,25.05.30,11110,개인,평동,종로구
401,경희궁자이(4단지),2017,개인,,,"106,000",25,1,2025,중개거래,서울 종로구,45.879,9,126,N,25.04.21,11110,개인,교북동,종로구
401,경희궁자이(4단지),2017,개인,,,"106,000",4,1,2025,중개거래,"서울 광진구, 서울 종로구",45.879,12,126,N,25.02.25,11110,개인,교북동,종로구
113,인왕산아이파크,2008,개인,,,"139,000",18,1,2025,중개거래,서울 종로구,84.858,15,60,N,25.03.28,11110,개인,무악동,종로구
105,창신쌍용1,1992,개인,,,"71,500",18,1,2025,중개거래,서울 종로구,79.87,1,702,N,25.02.28,11110,개인,창신동,종로구
208,경희궁자이(2단지),2017,개인,,,"268,000",18,1,2025,중개거래,서울 종로구,101.9914,4,199,N,25.03.31,11110,개인,홍파동,종로구
1,종로유케이201,2013,개인,,,"9,300",14,1,2025,중개거래,서울 종로구,12.01,9,201-11,N,25.02.24,11110,개인,숭인동,종로구
109,현대,2000,개인,,,"139,900",11,1,2025,중개거래,서울 종로구,114.9,14,82,N,25.02.26,11110,개인,무악동,종로구
