park_nm,rgn,park_addr,xcrd,ycrd,area
청계산도시자연공원,서초구,서울특별시 서초구 원지동 산 33,127.0424726,37.4224347,"3,607,700㎡   "
개화근린공원,강서구,서울특별시 강서구 개화동 산17,126.8068278,37.5813917,386500㎡
아차산공원,광진구,서울특별시 광진구 광장동 370,127.1010031,37.5517142,23450㎡
인능산도시자연공원,서초구,서울특별시 서초구 내곡동 산12-404,127.0666632,37.4482109,"2,108,968㎡"
구룡산도시자연공원,서초구,서울특별시 서초구 염곡동 산25-1,127.061567,37.4689473,"2,201,257㎡"
우면산도시자연공원,서초구,서울특별시 서초구 우면동 산35-1,127.0091324,37.470484,"3,721,692㎡"
향림근린공원,은평구,서울특별시 은평구 진관동 산55,126.9240693,37.6293824,147859㎡
신사근린공원,은평구,서울특별시 은평구 신사동 산80-4,126.9102948,37.5920771,111650㎡
광평근린공원,강남구,서울특별시 강남구 수서동 산10-1,127.092184,37.4880445,519782㎡ 
청담근린공원,강남구,서울특별시 강남구 청담동 66,127.052453,37.5213259,59347㎡ 
허브천문공원,강동구,서울특별시 강동구 둔촌동 산94,127.1533951,37.5372715,25500㎡ 
연신내물빛공원,은평구,서울특별시 은평구 통일로 849,126.9207354,37.619052,2560㎡ 
숭인근린공원,종로구,서울특별시 종로구 숭인동 58,127.0178267,37.5764419,45615㎡ 
서일대뒷산공원,중랑구,서울특별시 중랑구 면목동 산19,127.0987817,37.5877155,631021㎡ 
용마도시자연공원(사가정공원),중랑구,서울특별시 중랑구 면목7동 산50 ,127.095997,37.5797622,109635㎡ 
문화비축기지,마포구,서울특별시 마포구 증산로 87,126.8932455,37.57171848,140022㎡
경춘선숲길,,노원구 공릉2동 산 82-2,127.076482,37.627077,211392㎡
율현공원,강남구,서울특별시 강남구 밤고개로24길 91(율현동 56),127.115594,37.472332,157535㎡
서울로7017,중구,서울로7017,,,
서울식물원,강서구,서울특별시 강서구 마곡동로 161 서울식물원,126.83483,37.569781,"505,350.9㎥"
