C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,C2_NM_ENG,ORG_ID,C1_OBJ_NM_ENG,C2_OBJ_NM
소득구간별,서울특별시,100,211,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,Seoul,101,By income level of wage,신혼부부 특성별
소득구간별,서울특별시,100,211,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,Seoul,101,By income level of wage,신혼부부 특성별
소득구간별,부산광역시,100,221,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,Busan,101,By income level of wage,신혼부부 특성별
소득구간별,부산광역시,100,221,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,Busan,101,By income level of wage,신혼부부 특성별
소득구간별,부산광역시,100,221,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,Busan,101,By income level of wage,신혼부부 특성별
소득구간별,대구광역시,100,222,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,Daegu,101,By income level of wage,신혼부부 특성별
소득구간별,대구광역시,100,222,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,Daegu,101,By income level of wage,신혼부부 특성별
소득구간별,대구광역시,100,222,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,Daegu,101,By income level of wage,신혼부부 특성별
소득구간별,인천광역시,100,223,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,Incheon,101,By income level of wage,신혼부부 특성별
소득구간별,인천광역시,100,223,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,Incheon,101,By income level of wage,신혼부부 특성별
소득구간별,인천광역시,100,223,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,Incheon,101,By income level of wage,신혼부부 특성별
소득구간별,광주광역시,100,224,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,Gwangju,101,By income level of wage,신혼부부 특성별
소득구간별,광주광역시,100,224,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2023,2024-12-19,Total,합계,% 만원,Number of newlyweds,Gwangju,101,By income level of wage,신혼부부 특성별
소득구간별,광주광역시,100,224,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2024,2025-12-17,Total,합계,% 만원,Number of newlyweds,Gwangju,101,By income level of wage,신혼부부 특성별
소득구간별,대전광역시,100,225,0,A,Percent Ten Thousands Won,T10,DT_1NW1027,신혼부부 구성비,신혼부부 특성별 소득(근로·사업소득) 현황,2022,2024-01-08,Total,합계,% 만원,Number of newlyweds,Daejeon,101,By income level of wage,신혼부부 특성별
