aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm,region_name
205,경희궁자이(2단지),2017,,,,"169,000",27,1,2023,중개거래,서울 종로구,84.8359,12,199,N,23.03.16,11110,,홍파동,종로구
,갑을아파트,1997,,,,"18,900",28,1,2023,중개거래,서울 종로구,30.46,6,595,N,23.04.07,11110,,평창동,종로구
107,현대,2000,,,,"99,960",26,1,2023,중개거래,서울 종로구,84.92,6,82,N,23.04.28,11110,,무악동,종로구
,효성쥬얼리시티,2006,,,,"79,000",26,1,2023,중개거래,서울 종로구,84.7,17,48-2,N,23.02.28,11110,,인의동,종로구
,숭인한양LEEPS,2014,,,,"12,200",20,1,2023,중개거래,서울 종로구,12.78,7,1421-2,N,23.01.31,11110,,숭인동,종로구
106,광화문스페이스본(106동),2008,,,,"200,000",20,1,2023,중개거래,서울 종로구,163.33,12,9-1,N,23.01.20,11110,,사직동,종로구
105,인왕산아이파크,2008,,,,"155,500",10,1,2023,중개거래,경기 고양덕양구 서울 종로구,114.931,16,60,N,23.02.28,11110,,무악동,종로구
105,현대,2000,,,,"105,950",21,2,2023,중개거래,서울 송파구 서울 종로구,84.92,9,82,N,23.04.19,11110,,무악동,종로구
,아르젠종로,2015,,,,"38,000",28,2,2023,중개거래,서울 종로구,47.24,13,163-3,N,23.04.17,11110,,연지동,종로구
103,경희궁파크팰리스,2003,,,,"185,000",21,2,2023,중개거래,서울 종로구,146.39,13,95,N,23.07.26,11110,,내수동,종로구
,현대,2000,,23.03.27,O,"105,950",21,2,2023,중개거래,서울 송파구 서울 종로구,84.92,9,82,N,,11110,,무악동,종로구
304,경희궁자이(3단지),2017,,,,"141,000",21,2,2023,중개거래,서울 종로구,59.8547,4,233,N,23.05.25,11110,,평동,종로구
