aptDong,aptNm,buildYear,buyerGbn,cdealDay,cdealType,dealAmount,dealDay,dealMonth,dealYear,dealingGbn,estateAgentSggNm,excluUseAr,floor,jibun,landLeaseholdGbn,rgstDate,sggCd,slerGbn,umdNm,region_name
105,종로청계힐스테이트,2009,개인,,,"101,300",19,1,2024,중개거래,서울 종로구,84.9478,13,766,N,24.04.30,11110,개인,숭인동,종로구
116,인왕산아이파크,2008,개인,,,"101,000",29,1,2024,중개거래,서울 종로구,59.993,11,60,N,24.03.20,11110,개인,무악동,종로구
209,경희궁자이(2단지),2017,개인,,,"200,000",22,1,2024,중개거래,서울 종로구,84.614,4,199,N,24.04.19,11110,개인,홍파동,종로구
현대뜨레비앙,현대뜨레비앙,2003,개인,,,"42,000",30,1,2024,중개거래,서울 종로구,48.54,2,55,N,24.03.11,11110,개인,익선동,종로구
가,일성빌라트,1996,개인,,,"70,500",27,1,2024,중개거래,서울 종로구,84.99,3,145-5,N,24.03.28,11110,개인,평창동,종로구
102,롯데캐슬로잔,2009,개인,,,"135,000",22,1,2024,직거래,,191.725,1,108,N,24.02.08,11110,개인,평창동,종로구
209,경희궁자이(2단지),2017,개인,,,"195,000",18,1,2024,중개거래,서울 종로구,84.8359,12,199,N,24.04.08,11110,개인,홍파동,종로구
,무악다온채,2011,개인,,,"39,000",29,1,2024,중개거래,,33.76,9,66-1,N,24.03.19,11110,개인,무악동,종로구
204,경희궁자이(2단지),2017,개인,,,"156,000",24,1,2024,중개거래,서울 종로구,59.8547,9,199,N,24.03.28,11110,개인,홍파동,종로구
305,경희궁자이(3단지),2017,개인,,,"200,000",27,1,2024,중개거래,서울 종로구,84.8359,14,233,N,24.05.14,11110,개인,평동,종로구
,송림아마레스아파트,2003,개인,,,"57,400",26,1,2024,중개거래,서울 종로구,75.62,5,2-12,N,24.02.05,11110,개인,명륜1가,종로구
104,종로청계힐스테이트,2009,개인,,,"80,000",27,1,2024,중개거래,서울 종로구,59.9426,11,766,N,24.02.27,11110,개인,숭인동,종로구
,종로청계힐스테이트,2009,개인,24.04.30,O,"101,300",19,1,2024,중개거래,서울 종로구,84.9478,13,766,N,,11110,개인,숭인동,종로구
CS타워,CS타워,2011,개인,,,"17,200",13,1,2024,중개거래,서울 종로구,21.94,7,62-2,N,24.02.01,11110,개인,충신동,종로구
CS타워,CS타워,2011,개인,,,"16,750",6,1,2024,중개거래,서울 종로구,22.17,10,62-2,N,24.02.16,11110,개인,충신동,종로구
105,종로센트레빌,2008,개인,,,"95,000",19,1,2024,중개거래,서울 종로구,84.92,2,2-1,N,24.03.08,11110,개인,숭인동,종로구
경희궁의 아침 3단지,경희궁의아침3단지,2004,개인,,,"192,000",13,1,2024,중개거래,서울 종로구,149.0,4,72,N,24.03.14,11110,개인,내수동,종로구
,리치캐슬아파트,2003,개인,,,"46,000",4,1,2024,중개거래,서울 종로구,64.68,4,33-85,N,24.02.29,11110,개인,명륜1가,종로구
삼전솔하임4차,삼전솔하임4차,2014,개인,,,"13,500",9,1,2024,중개거래,서울 종로구,15.09,15,318-2,N,24.01.25,11110,개인,숭인동,종로구
202,창신쌍용2,1993,개인,,,"57,500",8,1,2024,중개거래,서울 종로구,64.66,9,703,N,24.02.23,11110,개인,창신동,종로구
비,"동문(비동,씨동)(494-0)",1997,개인,,,"44,000",24,2,2024,중개거래,서울 종로구,59.94,5,494,N,24.06.13,11110,개인,숭인동,종로구
,갑을아파트,1997,개인,,,"19,000",18,2,2024,중개거래,서울 종로구,32.56,12,595,N,24.03.25,11110,개인,평창동,종로구
,종로동광모닝스카이,2013,개인,,,"11,000",29,2,2024,중개거래,서울 종로구,15.855,15,1421-1,N,24.03.25,11110,개인,숭인동,종로구
113,인왕산아이파크,2008,개인,,,"108,000",17,2,2024,중개거래,서울 종로구,84.858,1,60,N,24.04.16,11110,개인,무악동,종로구
206,경희궁자이(2단지),2017,개인,,,"214,000",25,2,2024,중개거래,서울 종로구,84.8359,10,199,N,24.06.03,11110,개인,홍파동,종로구
103,인왕산아이파크,2008,개인,,,"128,000",20,2,2024,중개거래,서울 종로구,84.858,3,60,N,24.07.25,11110,개인,무악동,종로구
101,창신쌍용1,1992,개인,,,"67,000",27,2,2024,직거래,,54.7,11,702,N,24.03.22,11110,개인,창신동,종로구
