C1_OBJ_NM,C2_NM,DT,C2,C1,PRD_SE,UNIT_NM_ENG,ITM_ID,TBL_ID,ITM_NM,TBL_NM,PRD_DE,LST_CHN_DE,C1_NM_ENG,C1_NM,UNIT_NM,ITM_NM_ENG,C2_OBJ_NM_ENG,C2_NM_ENG,ORG_ID,C1_OBJ_NM_ENG,C2_OBJ_NM
소득구간별,5천만원~7천만원 미만,5,40,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,50 million ~ 70 million won,101,by income level,금융권 대출잔액구간별
소득구간별,5천만원~7천만원 미만,4.9,40,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,50 million ~ 70 million won,101,by income level,금융권 대출잔액구간별
소득구간별,7천만원~1억원 미만,7.9,50,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,70 million ~ 100 million won,101,by income level,금융권 대출잔액구간별
소득구간별,7천만원~1억원 미만,7.5,50,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,70 million ~ 100 million won,101,by income level,금융권 대출잔액구간별
소득구간별,7천만원~1억원 미만,7.1,50,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,70 million ~ 100 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1억원~2억원 미만,24.9,60,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,100 million ~ 200 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1억원~2억원 미만,23.7,60,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,100 million ~ 200 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1억원~2억원 미만,22.1,60,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,100 million ~ 200 million won,101,by income level,금융권 대출잔액구간별
소득구간별,2억원~3억원 미만,16.2,70,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,200 million ~ 300 million won,101,by income level,금융권 대출잔액구간별
소득구간별,2억원~3억원 미만,16.9,70,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,200 million ~ 300 million won,101,by income level,금융권 대출잔액구간별
소득구간별,2억원~3억원 미만,16.4,70,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,200 million ~ 300 million won,101,by income level,금융권 대출잔액구간별
소득구간별,3억원 이상,16.9,80,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,300 million won ＆ more,101,by income level,금융권 대출잔액구간별
소득구간별,3억원 이상,17.5,80,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,300 million won ＆ more,101,by income level,금융권 대출잔액구간별
소득구간별,3억원 이상,19.4,80,0,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Total,합계 (소득구간별),%,Ratio of newlyweds,by debt level,300 million won ＆ more,101,by income level,금융권 대출잔액구간별
소득구간별,합계,9.9,00,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,Total,101,by income level,금융권 대출잔액구간별
소득구간별,합계,9.6,00,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,Total,101,by income level,금융권 대출잔액구간별
소득구간별,합계,9.2,00,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,Total,101,by income level,금융권 대출잔액구간별
소득구간별,대출잔액 없음,2.1,05,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,,101,by income level,금융권 대출잔액구간별
소득구간별,대출잔액 없음,2.3,05,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,,101,by income level,금융권 대출잔액구간별
소득구간별,대출잔액 없음,2.3,05,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,,101,by income level,금융권 대출잔액구간별
소득구간별,1천만원 미만,1,10,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,Less then 10 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1천만원 미만,0.9,10,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,Less then 10 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1천만원 미만,1,10,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,Less then 10 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1천만원~3천만원 미만,1.2,20,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,10 million ~ 30 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1천만원~3천만원 미만,1.1,20,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,10 million ~ 30 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1천만원~3천만원 미만,1,20,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,10 million ~ 30 million won,101,by income level,금융권 대출잔액구간별
소득구간별,3천만원~5천만원 미만,0.8,30,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,30 million ~ 50 million won,101,by income level,금융권 대출잔액구간별
소득구간별,3천만원~5천만원 미만,0.7,30,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,30 million ~ 50 million won,101,by income level,금융권 대출잔액구간별
소득구간별,3천만원~5천만원 미만,0.7,30,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,30 million ~ 50 million won,101,by income level,금융권 대출잔액구간별
소득구간별,5천만원~7천만원 미만,0.6,40,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,50 million ~ 70 million won,101,by income level,금융권 대출잔액구간별
소득구간별,5천만원~7천만원 미만,0.6,40,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,50 million ~ 70 million won,101,by income level,금융권 대출잔액구간별
소득구간별,5천만원~7천만원 미만,0.5,40,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,50 million ~ 70 million won,101,by income level,금융권 대출잔액구간별
소득구간별,7천만원~1억원 미만,0.7,50,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,70 million ~ 100 million won,101,by income level,금융권 대출잔액구간별
소득구간별,7천만원~1억원 미만,0.6,50,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,70 million ~ 100 million won,101,by income level,금융권 대출잔액구간별
소득구간별,7천만원~1억원 미만,0.6,50,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,70 million ~ 100 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1억원~2억원 미만,1.6,60,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,100 million ~ 200 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1억원~2억원 미만,1.5,60,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,100 million ~ 200 million won,101,by income level,금융권 대출잔액구간별
소득구간별,1억원~2억원 미만,1.3,60,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2024,2025-12-17,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,100 million ~ 200 million won,101,by income level,금융권 대출잔액구간별
소득구간별,2억원~3억원 미만,0.8,70,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2022,2024-01-08,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,200 million ~ 300 million won,101,by income level,금융권 대출잔액구간별
소득구간별,2억원~3억원 미만,0.8,70,1,A,%,T10,DT_1NW1036,신혼부부 구성비,소득(근로·사업소득) 구간과 금융권 대출잔액 구간별 신혼부부 분포,2023,2024-12-19,Less then 10 million won,1천만원 미만,%,Ratio of newlyweds,by debt level,200 million ~ 300 million won,101,by income level,금융권 대출잔액구간별
