구,구코드,년월,아파트명,법정동,전용면적_m2,층,보증금_만원,월세_만원,계약유형,계약일,건축년도
종로구,11110,202103,창신쌍용2,창신동,106.62,12,36500,0,,2021-03-27,1993
종로구,11110,202103,경희궁자이(3단지),평동,59.755,3,5000,189,,2021-03-16,2017
종로구,11110,202103,영하우스,숭인동,20.27,14,4864,36,,2021-03-16,2015
종로구,11110,202103,포레스트힐시티,효제동,14.6825,7,15750,0,,2021-03-26,2017
종로구,11110,202103,창신쌍용2,창신동,64.66,9,27300,0,,2021-03-13,1993
종로구,11110,202103,운현신화타워,익선동,47.61,15,30000,0,,2021-03-30,1998
종로구,11110,202103,인왕산아이파크,무악동,114.931,2,67000,40,,2021-03-05,2008
종로구,11110,202103,롯데캐슬천지인,숭인동,112.54,27,82000,0,,2021-03-30,2004
종로구,11110,202103,형우럭스빌(33-1),평창동,103.07,4,25000,20,,2021-03-13,2005
종로구,11110,202103,영하우스,숭인동,20.27,8,4864,36,,2021-03-09,2015
종로구,11110,202103,종로중흥S클래스,숭인동,19.466,11,4000,40,,2021-03-10,2013
종로구,11110,202103,경희궁자이(2단지),홍파동,84.614,9,120000,0,,2021-03-30,2017
종로구,11110,202103,창신쌍용2,창신동,79.87,14,44000,0,,2021-03-30,1993
종로구,11110,202103,경희궁자이(2단지),홍파동,59.855,12,8000,250,,2021-03-16,2017
종로구,11110,202103,현대,무악동,84.92,6,48000,0,,2021-03-26,2000
종로구,11110,202103,익성씨티하임,숭인동,15.76,11,5000,35,,2021-03-10,2013
종로구,11110,202103,창신쌍용1,창신동,54.7,6,29000,0,,2021-03-06,1992
종로구,11110,202103,익성씨티하임,숭인동,15.42,12,5000,30,,2021-03-19,2013
종로구,11110,202103,삼전솔하임2차,숭인동,16.67,4,1000,50,,2021-03-24,2012
종로구,11110,202103,현대,무악동,60.0,9,42000,0,,2021-03-20,2000
종로구,11110,202103,경희궁롯데캐슬,무악동,84.8792,4,105000,0,,2021-03-06,2019
종로구,11110,202103,종로유케이201,숭인동,12.01,6,10500,0,,2021-03-24,2013
종로구,11110,202103,광화문스페이스본(101동~105동),사직동,108.55,2,53000,70,,2021-03-24,2008
종로구,11110,202103,경희궁롯데캐슬,무악동,59.6737,7,43200,50,,2021-03-24,2019
종로구,11110,202103,익성씨티하임,숭인동,14.48,15,11500,0,신규,2021-03-04,2013
종로구,11110,202103,경희궁자이(3단지),평동,59.755,2,91000,0,,2021-03-24,2017
종로구,11110,202103,경희궁자이(3단지),평동,59.855,6,70000,0,,2021-03-17,2017
종로구,11110,202103,블루빌,숭인동,42.94,8,25500,0,,2021-03-22,2017
종로구,11110,202103,경희궁자이(3단지),평동,59.943,5,65000,0,,2021-03-02,2017
종로구,11110,202103,롯데캐슬천지인,숭인동,111.73,5,47500,0,,2021-03-19,2004
종로구,11110,202103,세종,당주동,91.46,8,2000,130,,2021-03-02,1983
종로구,11110,202103,창신쌍용2,창신동,79.87,13,34000,0,,2021-03-20,1993
종로구,11110,202103,효성쥬얼리시티,인의동,98.39,10,10000,200,,2021-03-22,2006
종로구,11110,202103,현대뜨레비앙,익선동,43.98,5,23500,0,,2021-03-13,2003
종로구,11110,202103,인왕산2차아이파크,무악동,84.748,14,55650,0,,2021-03-20,2015
종로구,11110,202103,경희궁자이(2단지),홍파동,84.614,6,120000,0,,2021-03-22,2017
종로구,11110,202103,경희궁의아침2단지,내수동,174.55,15,5000,400,,2021-03-18,2004
종로구,11110,202103,경희궁롯데캐슬,무악동,59.6737,16,58000,0,,2021-03-19,2019
종로구,11110,202103,경희궁자이(2단지),홍파동,84.614,20,75000,0,,2021-03-16,2017
종로구,11110,202103,창신쌍용1,창신동,54.7,10,40000,0,신규,2021-03-19,1992
종로구,11110,202103,방산(5-102),명륜1가,59.46,3,17000,0,,2021-03-18,1995
